total_negocios,empleados_promedio,pct_micro,num_sectores_distintos,pct_sector_informal,año_alta_promedio,pct_recientes_3a,pct_recientes_1a,zona_id,lat_centro,lon_centro,prob_formalizacion,score_100,nivel
46,0.0,1.0,11,0.0,2017.5434782608695,0.1956521739130435,0.0,153_198,20.391441441441195,-89.5424509596271,0.40393874617031267,40.4,Medio
97,0.0,1.0,12,0.0,2017.2474226804125,0.25773195876288657,0.041237113402061855,153_199,20.391441441441195,-89.53762703499046,0.3095435677224273,31.0,Medio
120,0.0,1.0,11,0.0,2018.1583333333333,0.375,0.008333333333333333,153_200,20.391441441441195,-89.53280311035383,0.8021942307395773,80.2,Muy alto
100,0.0,1.0,10,0.0,2017.55,0.36,0.0,153_201,20.391441441441195,-89.52797918571719,0.6607792515338209,66.1,Alto
28,0.0,1.0,7,0.0,2019.7857142857142,0.5,0.0,153_202,20.391441441441195,-89.52315526108055,0.5815623400208693,58.2,Alto
1,0.0,1.0,1,0.0,2024.0,1.0,0.0,153_203,20.391441441441195,-89.51833133644391,0.4476832873392588,44.8,Medio
9,0.0,1.0,5,0.0,2016.0,0.2222222222222222,0.0,153_211,20.391441441441195,-89.4797399393508,0.6226896298343615,62.3,Alto
49,0.0,1.0,8,0.0,2016.1224489795918,0.30612244897959184,0.0,153_212,20.391441441441195,-89.47491601471415,0.6278112888578169,62.8,Alto
87,0.0,1.0,8,0.0,2016.2528735632184,0.2988505747126437,0.011494252873563218,153_213,20.391441441441195,-89.47009209007751,0.5776887473617947,57.8,Alto
45,0.0,1.0,8,0.0,2016.2444444444445,0.3333333333333333,0.06666666666666667,153_214,20.391441441441195,-89.46526816544088,0.33289797121170955,33.3,Medio
1,0.0,1.0,1,0.0,2024.0,1.0,0.0,153_215,20.391441441441195,-89.46044424080424,0.4476832873392588,44.8,Medio
3,0.0,1.0,3,0.0,2019.3333333333333,0.6666666666666666,0.0,153_227,20.391441441441195,-89.40255714516456,0.5327566454227878,53.3,Alto
22,0.0,1.0,5,0.0,2018.7727272727273,0.5454545454545454,0.0,153_228,20.391441441441195,-89.39773322052793,0.570880109053319,57.1,Alto
84,0.0,1.0,11,0.0,2016.5595238095239,0.2857142857142857,0.0,153_229,20.391441441441195,-89.39290929589129,0.44028815118634346,44.0,Medio
47,0.0,1.0,6,0.0,2017.531914893617,0.3191489361702128,0.0,153_230,20.391441441441195,-89.38808537125465,0.6940568935251025,69.4,Alto
1,0.0,1.0,1,0.0,2025.0,1.0,1.0,153_232,20.391441441441195,-89.37843752198137,0.5153389461976065,51.5,Alto
52,0.0,1.0,3,0.0,2016.5576923076924,0.3269230769230769,0.0,153_251,20.391441441441195,-89.28678295388522,0.7035289577425965,70.4,Alto
19,0.0,1.0,3,0.0,2017.578947368421,0.3157894736842105,0.0,153_252,20.391441441441195,-89.28195902924858,0.6403094210429585,64.0,Alto
3,0.0,1.0,1,0.0,2024.0,1.0,0.0,154_194,20.395945945945698,-89.56174665817366,0.5241844659962249,52.4,Alto
31,0.0,1.0,8,0.0,2018.9032258064517,0.5483870967741935,0.0,154_195,20.395945945945698,-89.55692273353702,0.5405462231641736,54.1,Alto
50,0.0,1.0,10,0.0,2016.92,0.32,0.0,154_196,20.395945945945698,-89.55209880890038,0.511870920059196,51.2,Alto
133,0.0,1.0,13,0.0,2016.9323308270677,0.3007518796992481,0.0,154_197,20.395945945945698,-89.54727488426374,0.7939968884465745,79.4,Muy alto
203,0.0,1.0,16,0.0,2017.8128078817733,0.37438423645320196,0.054187192118226604,154_198,20.395945945945698,-89.5424509596271,0.3577872603371519,35.8,Medio
453,0.0,1.0,17,0.0,2016.132450331126,0.27593818984547464,0.03532008830022075,154_199,20.395945945945698,-89.53762703499046,0.48316735932319194,48.3,Medio
251,0.0,1.0,17,0.0,2017.6254980079682,0.40239043824701193,0.06374501992031872,154_200,20.395945945945698,-89.53280311035383,0.1887299687737895,18.9,Bajo
90,0.0,1.0,11,0.0,2017.7666666666667,0.3111111111111111,0.011111111111111112,154_201,20.395945945945698,-89.52797918571719,0.512815702030735,51.3,Alto
52,0.0,1.0,7,0.0,2018.0384615384614,0.34615384615384615,0.019230769230769232,154_202,20.395945945945698,-89.52315526108055,0.4718738858678242,47.2,Medio
6,0.0,1.0,6,0.0,2014.5,0.0,0.0,154_203,20.395945945945698,-89.51833133644391,0.5048437980380015,50.5,Alto
1,0.0,1.0,1,0.0,2024.0,1.0,0.0,154_211,20.395945945945698,-89.4797399393508,0.4476832873392588,44.8,Medio
3,0.0,1.0,2,0.0,2019.0,0.3333333333333333,0.0,154_212,20.395945945945698,-89.47491601471415,0.4883632352427652,48.8,Medio
6,0.0,1.0,4,0.0,2018.6666666666667,0.3333333333333333,0.0,154_213,20.395945945945698,-89.47009209007751,0.6013978639713453,60.1,Alto
6,0.0,1.0,4,0.0,2018.5,0.5,0.0,154_214,20.395945945945698,-89.46526816544088,0.5510297012711348,55.1,Alto
3,0.0,1.0,2,0.0,2017.6666666666667,0.3333333333333333,0.0,154_228,20.395945945945698,-89.39773322052793,0.560552318919389,56.1,Alto
12,0.0,1.0,3,0.0,2018.6666666666667,0.25,0.0,154_229,20.395945945945698,-89.39290929589129,0.6084071465448797,60.8,Alto
18,0.0,1.0,5,0.0,2021.5555555555557,0.6111111111111112,0.0,154_230,20.395945945945698,-89.38808537125465,0.4793125465910371,47.9,Medio
7,0.0,1.0,1,0.0,2015.142857142857,0.2857142857142857,0.0,154_250,20.395945945945698,-89.29160687852186,0.6486093415692088,64.9,Alto
174,0.0,1.0,8,0.0,2015.7528735632184,0.28735632183908044,0.0,154_251,20.395945945945698,-89.28678295388522,0.8394614853614969,83.9,Muy alto
231,0.0,1.0,9,0.0,2016.3939393939395,0.3203463203463203,0.0,154_252,20.395945945945698,-89.28195902924858,0.8276393043721125,82.8,Muy alto
80,0.0,1.0,7,0.0,2016.075,0.3,0.0,154_253,20.395945945945698,-89.27713510461194,0.7003754990475244,70.0,Alto
15,0.0,1.0,1,0.0,2016.1333333333334,0.3333333333333333,0.0,154_254,20.395945945945698,-89.2723111799753,0.6640112312281999,66.4,Alto
1,0.0,1.0,1,0.0,2023.0,1.0,0.0,155_194,20.4004504504502,-89.56174665817366,0.29332025271786344,29.3,Medio
24,0.0,1.0,9,0.0,2019.9583333333333,0.625,0.0,155_195,20.4004504504502,-89.55692273353702,0.40004762226993135,40.0,Medio
32,0.0,1.0,7,0.0,2018.59375,0.46875,0.0,155_196,20.4004504504502,-89.55209880890038,0.6036133184942497,60.4,Alto
113,0.0,1.0,13,0.0,2018.2477876106195,0.48672566371681414,0.0,155_197,20.4004504504502,-89.54727488426374,0.7657473663406216,76.6,Muy alto
139,0.0,1.0,12,0.0,2018.9856115107914,0.4892086330935252,0.007194244604316547,155_198,20.4004504504502,-89.5424509596271,0.8035499654283352,80.4,Muy alto
217,0.0,1.0,15,0.0,2018.3225806451612,0.4147465437788018,0.004608294930875576,155_199,20.4004504504502,-89.53762703499046,0.8343815940104432,83.4,Muy alto
197,0.0,1.0,16,0.0,2018.6598984771574,0.41624365482233505,0.005076142131979695,155_200,20.4004504504502,-89.53280311035383,0.8023056136750523,80.2,Muy alto
95,0.0,1.0,12,0.0,2017.3052631578948,0.3684210526315789,0.010526315789473684,155_201,20.4004504504502,-89.52797918571719,0.489883137770499,49.0,Medio
51,0.0,1.0,8,0.0,2017.921568627451,0.3333333333333333,0.0,155_202,20.4004504504502,-89.52315526108055,0.6353865727473557,63.5,Alto
2,0.0,1.0,2,0.0,2024.0,1.0,0.0,155_203,20.4004504504502,-89.51833133644391,0.5580561412394548,55.8,Alto
31,0.0,1.0,4,0.0,2016.0,0.2903225806451613,0.03225806451612903,155_250,20.4004504504502,-89.29160687852186,0.5733428504114882,57.3,Alto
174,0.0,1.0,14,0.0,2016.551724137931,0.2988505747126437,0.017241379310344827,155_251,20.4004504504502,-89.28678295388522,0.5368866239233651,53.7,Alto
202,0.0,1.0,11,0.0,2017.7079207920792,0.3415841584158416,0.0,155_252,20.4004504504502,-89.28195902924858,0.843551028024471,84.4,Muy alto
164,0.0,1.0,7,0.0,2017.2012195121952,0.3475609756097561,0.0,155_253,20.4004504504502,-89.27713510461194,0.8819700736152909,88.2,Muy alto
18,0.0,1.0,3,0.0,2016.7222222222222,0.2777777777777778,0.0,155_254,20.4004504504502,-89.2723111799753,0.6382298310654567,63.8,Alto
52,0.0,1.0,10,0.0,2020.5576923076924,0.5961538461538461,0.0,156_196,20.404954954954704,-89.55209880890038,0.3563666745016346,35.6,Medio
82,0.0,1.0,12,0.0,2019.0731707317073,0.45121951219512196,0.0,156_197,20.404954954954704,-89.54727488426374,0.5104548552741114,51.0,Alto
73,0.0,1.0,12,0.0,2020.0,0.547945205479452,0.0,156_198,20.404954954954704,-89.5424509596271,0.35933226777159255,35.9,Medio
118,0.0,1.0,13,0.0,2018.9406779661017,0.5084745762711864,0.0,156_199,20.404954954954704,-89.53762703499046,0.7804540471577602,78.0,Muy alto
97,0.0,1.0,13,0.0,2018.1752577319587,0.422680412371134,0.020618556701030927,156_200,20.404954954954704,-89.53280311035383,0.4324460202695967,43.2,Medio
118,0.0,1.0,8,0.0,2018.415254237288,0.4406779661016949,0.0,156_201,20.404954954954704,-89.52797918571719,0.8332631893204456,83.3,Muy alto
37,0.0,1.0,6,0.0,2020.5675675675675,0.5945945945945946,0.0,156_202,20.404954954954704,-89.52315526108055,0.5826823211544973,58.3,Alto
3,0.0,1.0,3,0.0,2024.0,1.0,0.0,156_203,20.404954954954704,-89.51833133644391,0.5988203589424973,59.9,Alto
1,0.0,1.0,1,0.0,2010.0,0.0,0.0,156_247,20.404954954954704,-89.30607865243178,0.5691299769903053,56.9,Alto
62,0.0,1.0,7,0.0,2018.1129032258063,0.4032258064516129,0.0,156_251,20.404954954954704,-89.28678295388522,0.7027014700337787,70.3,Alto
