zona_id,lat_centro,lon_centro,total_negocios,empleados_promedio,pct_micro,num_sectores_distintos,pct_sector_informal,año_alta_promedio,pct_recientes_3a,pct_recientes_1a,nuevos_formalizados,alta_formalizacion
282_179,20.97252252252207,-89.63410552772325,66,0.0,1.0,14,0.0,2015.3333333333333,0.21212121212121213,0.030303030303030304,0,0
282_180,20.97252252252207,-89.62928160308661,135,0.0,1.0,17,0.0,2015.414814814815,0.25925925925925924,0.022222222222222223,0,0
282_181,20.97252252252207,-89.62445767844997,212,0.0,1.0,18,0.0,2017.438679245283,0.32547169811320753,0.0660377358490566,0,0
282_182,20.97252252252207,-89.61963375381333,187,0.0,1.0,17,0.0,2016.6791443850268,0.2887700534759358,0.0481283422459893,0,0
282_183,20.97252252252207,-89.61480982917669,72,0.0,1.0,12,0.0,2017.0277777777778,0.2777777777777778,0.027777777777777776,0,0
282_184,20.97252252252207,-89.60998590454005,54,0.0,1.0,10,0.0,2017.2407407407406,0.2777777777777778,0.018518518518518517,0,0
282_185,20.97252252252207,-89.60516197990341,58,0.0,1.0,10,0.0,2015.4827586206898,0.22413793103448276,0.0,0,0
282_186,20.97252252252207,-89.60033805526677,86,0.0,1.0,14,0.0,2016.1279069767443,0.29069767441860467,0.011627906976744186,0,0
282_187,20.97252252252207,-89.59551413063014,34,0.0,1.0,12,0.0,2019.5,0.5588235294117647,0.058823529411764705,0,0
282_188,20.97252252252207,-89.5906902059935,63,0.0,1.0,12,0.0,2017.4761904761904,0.3968253968253968,0.031746031746031744,0,0
282_189,20.97252252252207,-89.58586628135686,103,0.0,1.0,13,0.0,2017.9514563106795,0.39805825242718446,0.019417475728155338,0,0
282_190,20.97252252252207,-89.58104235672022,110,0.0,1.0,14,0.0,2017.9363636363637,0.43636363636363634,0.045454545454545456,0,0
282_191,20.97252252252207,-89.57621843208358,71,0.0,1.0,11,0.0,2017.9295774647887,0.4084507042253521,0.014084507042253521,0,0
282_192,20.97252252252207,-89.57139450744694,68,0.0,1.0,12,0.0,2018.5294117647059,0.45588235294117646,0.014705882352941176,0,0
282_193,20.97252252252207,-89.5665705828103,92,0.0,1.0,11,0.0,2018.2717391304348,0.4782608695652174,0.021739130434782608,0,0
282_194,20.97252252252207,-89.56174665817366,84,0.0,1.0,11,0.0,2018.1309523809523,0.39285714285714285,0.0,0,0
282_195,20.97252252252207,-89.55692273353702,71,0.0,1.0,11,0.0,2019.9718309859154,0.5211267605633803,0.014084507042253521,0,0
282_196,20.97252252252207,-89.55209880890038,62,0.0,1.0,9,0.0,2021.1290322580646,0.6451612903225806,0.03225806451612903,0,0
282_197,20.97252252252207,-89.54727488426374,20,0.0,1.0,6,0.0,2024.05,1.0,0.05,0,0
282_198,20.97252252252207,-89.5424509596271,18,0.0,1.0,5,0.0,2023.5,0.8888888888888888,0.05555555555555555,0,0
282_209,20.97252252252207,-89.48938778862407,1,0.0,1.0,1,0.0,2014.0,0.0,0.0,0,0
282_211,20.97252252252207,-89.4797399393508,2,0.0,1.0,2,0.0,2017.5,0.5,0.5,0,0
282_218,20.97252252252207,-89.44597246689432,3,0.0,1.0,3,0.0,2017.6666666666667,0.3333333333333333,0.0,0,0
282_219,20.97252252252207,-89.44114854225768,7,0.0,1.0,4,0.0,2013.857142857143,0.14285714285714285,0.0,0,0
282_220,20.97252252252207,-89.43632461762104,1,0.0,1.0,1,0.0,2019.0,0.0,0.0,0,0
282_391,20.97252252252207,-88.61143350475572,3,0.0,1.0,2,0.0,2017.3333333333333,0.3333333333333333,0.0,0,0
282_392,20.97252252252207,-88.60660958011908,7,0.0,1.0,3,0.0,2019.0,0.42857142857142855,0.0,0,0
282_393,20.97252252252207,-88.60178565548244,34,0.0,1.0,9,0.0,2020.264705882353,0.47058823529411764,0.0,0,0
282_394,20.97252252252207,-88.5969617308458,10,0.0,1.0,5,0.0,2021.0,0.6,0.0,0,0
283_163,20.977027027026573,-89.71128832190948,1,0.0,1.0,1,0.0,2024.0,1.0,0.0,0,0
283_165,20.977027027026573,-89.7016404726362,2,0.0,1.0,2,0.0,2024.0,1.0,0.0,0,0
283_168,20.977027027026573,-89.68716869872628,19,0.0,1.0,6,0.0,2020.7368421052631,0.631578947368421,0.0,0,0
283_169,20.977027027026573,-89.68234477408964,107,0.0,1.0,13,0.0,2020.5794392523364,0.5981308411214953,0.009345794392523364,0,0
283_170,20.977027027026573,-89.677520849453,75,0.0,1.0,13,0.0,2020.445945945946,0.6081081081081081,0.04054054054054054,0,0
283_171,20.977027027026573,-89.67269692481636,60,0.0,1.0,9,0.0,2018.55,0.4166666666666667,0.016666666666666666,0,0
283_172,20.977027027026573,-89.66787300017972,5,0.0,1.0,5,0.0,2017.4,0.4,0.0,0,0
283_173,20.977027027026573,-89.66304907554309,62,0.0,1.0,10,0.0,2018.274193548387,0.41935483870967744,0.12903225806451613,0,0
283_174,20.977027027026573,-89.65822515090645,19,0.0,1.0,7,0.0,2014.842105263158,0.21052631578947367,0.0,0,0
283_175,20.977027027026573,-89.6534012262698,82,0.0,1.0,11,0.0,2017.841463414634,0.3170731707317073,0.0,0,0
283_176,20.977027027026573,-89.64857730163317,103,0.0,1.0,12,0.0,2016.5436893203882,0.23300970873786409,0.009708737864077669,0,0
